Path,ColorId,SignId
Meta/27.png,0,1.32
Meta/0.png,0,3.29
Meta/1.png,0,3.29
Meta/10.png,0,3.27
Meta/11.png,0,1.22
Meta/12.png,2,2.3
Meta/13.png,0,2.1
Meta/14.png,0,2.2
Meta/15.png,0,3.1
Meta/16.png,0,3.3
Meta/17.png,0,3.21
Meta/18.png,0,1.39
Meta/19.png,0,1.2
Meta/2.png,0,3.29
Meta/20.png,0,1.1
Meta/21.png,0,1.3.2
Meta/22.png,0,1.1
Meta/23.png,0,1.13
Meta/24.png,0,1.5.2
Meta/25.png,0,1.37
Meta/26.png,0,1.24
Meta/28.png,0,1.33
Meta/29.png,0,1.34
Meta/3.png,0,3.29
Meta/30.png,0,None
Meta/31.png,0,1.36
Meta/32.png,3,3.42
Meta/33.png,1,4.2
Meta/34.png,1,4.3
Meta/35.png,1,4.1
Meta/36.png,1,4.4
Meta/37.png,1,4.5
Meta/38.png,1,4.7
Meta/39.png,1,4.8
Meta/4.png,0,3.29
Meta/40.png,1,4.1
Meta/41.png,3,3.26
Meta/42.png,3,3.28
Meta/5.png,0,3.29
Meta/6.png,3,3.3
Meta/7.png,0,3.29
Meta/8.png,0,3.29
Meta/9.png,0,3.25


